성별,출연 프로그램,시즌,방영 시작 날짜,방영 종료 날짜,시청률,방송편수,OTT 방영 여부(후행적?),출생년도,방영당시 나이,출연자 평균 연령,MBTI,메기여부,커플 성사 여부,직업분류,직업분류코드,외모(Face score),외모(Fun),외모(Smartness),외모(Confidence),외모(Trustworthiness),외모(Attractiveness),외모(Approachability),계산된_동성_출연자_수,계산된_이성_출연자_수,동성 출연자 수 일치 여부,이성 출연자 수 일치 여부,계산된 방영당시 나이,나이 차이,프로그램_시즌,출연자방영후30일평균검색량,출연자방영후14일평균검색량,출연자방영전후30일총검색량,출연자방영전후14일총검색량,프로그램방영후30일평균검색량,프로그램방영후14일평균검색량,프로그램방영전후30일총검색량,프로그램방영전후14일총검색량,방영 기간 (일),방송 종료 m일 후 팔로워 (total followers daily),출연자 댓글수_프로그램 총 댓글 수,pos_result의 평균,neg_result의 평균,출연자 pos_result 1의 비율,출연자 neg_result 0의 비율,1화,2화,3화,4화
남,체인지데이즈,2,2022-06-02,2022-09-15,,16,TRUE,1995,28,27,ENFJ,FALSE,FALSE,,,84,78,81,70,54,99,94,3,4,FALSE,FALSE,27,1,체인지데이즈2,415.8064516,521.3333333,12890,7820,6138.709677,7034,221410,124490,105,53288,0.055555556,2.665733919,97.33426608,0,1,0,0,0,0
여,환승연애,2,2022-07-15,2022-10-28,,20,TRUE,1998,25,26.2,INTP,TRUE,TRUE,,,84,91,50,96,70,84,80,4,5,FALSE,FALSE,24,1,환승연애2,0,0,0,0,16132.90323,15828,628290,299350,105,714612,0,0,0,0,0,0,0,0,0
남,소년소녀 연애하다,,2023-10-05,2023-11-30,,10,TRUE,2006,18,18.1,ISFP,TRUE,FALSE,,,88,74,97,89,81,82,66,4,5,FALSE,FALSE,17,1,소년소녀연애하다,,,,,6556.774194,8716.666667,235720,154420,56,,0.01183432,68.09986494,31.90013506,0.75,0.25,0,0,0,0
남,솔로지옥,3,2023-12-12,2024-01-09,,11,TRUE,1990,34,28.83333333,ENFJ,FALSE,TRUE,,,84,65,89,79,73,88,66,5,6,FALSE,FALSE,33,1,솔로지옥3,420.9677419,539.3333333,13050,8090,14327.74194,14086.66667,493650,242740,28,727308,0.000488043,60.88833809,39.11166191,1,0,0,0,0,1
여,연애남매,,2024-03-01,2024-06-14,1.6,17,TRUE,1996,29,31.7,ENFJ,FALSE,TRUE,,,85,52,87,78,91,95,71,4,5,FALSE,FALSE,28,1,연애남매,33.5483871,34.66666667,1040,520,49345.16129,51326.66667,1606430,824550,105,311218,0,0,0,0,0,0,0,0,0
여,솔로지옥,2,2022-12-13,2023-01-10,,10,TRUE,1997,26,26.58333333,,FALSE,FALSE,,,80,75,80,75,50,76,72,5,6,FALSE,FALSE,25,1,솔로지옥2,,,,,13451.29032,12476.66667,474190,214500,28,,0.010989011,41.04568996,58.95431004,0.428571429,0.571428571,1,0,0,0
남,연애남매,,2024-03-01,2024-06-14,1.6,17,TRUE,1994,31,31.7,ENTJ,FALSE,FALSE,,,82,65,100,71,60,100,82,4,5,FALSE,FALSE,30,1,연애남매,122.5806452,98.66666667,3800,1480,49345.16129,51326.66667,1606430,824550,105,440821,0,0,0,0,0,0,0,1,0
남,연애남매,,2024-03-01,2024-06-14,1.6,17,TRUE,1991,34,31.7,ENTJ,FALSE,FALSE,,,82,75,100,73,67,80,61,4,5,FALSE,FALSE,33,1,연애남매,234.8387097,228,7280,3420,49345.16129,51326.66667,1606430,824550,105,247235,0,0,0,0,0,0,1,0,0
여,연애남매,,2024-03-01,2024-06-14,1.6,17,TRUE,1989,36,31.7,INFJ,FALSE,FALSE,,,81,54,51,75,60,93,85,4,5,FALSE,FALSE,35,1,연애남매,30.32258065,30,940,450,49345.16129,51326.66667,1606430,824550,105,187736,0,0,0,0,0,0,0,0,0
남,남의연애,3,2024-06-21,2024-08-02,,14,TRUE,1996,29,26.125,ENTP,FALSE,TRUE,,,82,59,99,67,65,95,76,7,0,FALSE,FALSE,28,1,남의연애3,3.548387097,7.333333333,110,110,2064.83871,2756.666667,73560,48140,42,32417,0.000674536,33.71968255,66.28031745,0.5,0.5,0,0,1,0
남,환승연애,3,2023-12-29,2024-04-19,,20,TRUE,1992,32,29.08333333,INTP,FALSE,TRUE,,,81,63,79,93,74,93,68,5,6,FALSE,FALSE,31,1,환승연애3,170.9677419,256,5300,3840,10079.35484,12714,423370,258450,112,199786,0,0,0,0,0,0,0,0,0
남,환승연애,3,2023-12-29,2024-04-19,,20,TRUE,1996,28,29.08333333,ESFP,TRUE,TRUE,,,84,84,61,85,72,95,74,5,6,FALSE,FALSE,27,1,환승연애3,6.451612903,1.333333333,200,20,10079.35484,12714,423370,258450,112,83364,0,0,0,0,0,0,0,0,0
남,좋아하면 울리는 짝짝짝,,2022-12-09,2023-02-03,,13,TRUE,1995,28,26.36363636,,,TRUE,방송 및 통신 기술 전문가,2642,87,53,99,88,71,100,78,4,6,TRUE,FALSE,27,1,좋아하면울리는짝짝짝,,,,,2760.645161,3160.666667,95040,55710,56,125515,0.046153846,37.69551714,62.30448286,0,1,0,0,0,1
여,솔로지옥,1,2021-12-18,2022-01-08,,8,TRUE,1997,25,28,ESTJ,TRUE,FALSE,예술가 및 연예인,2453,82,75,77,78,50,83,81,5,6,TRUE,TRUE,24,1,솔로지옥1,1379.354839,305.3333333,42760,4580,135870.9677,133506.6667,4235010,2018100,21,386831,0.026095855,61.71504046,38.28495954,0.666666667,0.333333333,0,0,0,0
여,환승연애,2,2022-07-15,2022-10-28,,20,TRUE,1994,29,26.2,ENFP,TRUE,TRUE,,,84,72,51,75,68,99,84,4,5,FALSE,FALSE,28,1,환승연애2,220.3225806,18,6830,270,16132.90323,15828,628290,299350,105,1018803,0,0,0,0,0,0,0,0,0
남,남의연애,3,2024-06-21,2024-08-02,,14,TRUE,1997,28,26.125,ENFJ,FALSE,TRUE,경영 및 행정 관리자,1112,80,59,82,76,62,95,68,7,0,TRUE,TRUE,27,1,남의연애3,,,,,2064.83871,2756.666667,73560,48140,42,36888,0.068389058,49.85969908,50.14030092,0.444444444,0.555555556,0,0,0,0
남,솔로지옥,3,2023-12-12,2024-01-09,,11,TRUE,1993,31,28.83333333,INFJ,FALSE,FALSE,법률 전문가,2221,80,58,53,55,72,100,82,5,6,TRUE,TRUE,30,1,솔로지옥3,154.8387097,159.3333333,4800,2390,14327.74194,14086.66667,493650,242740,28,458731,0.015957447,49.70271945,50.29728055,0.458333333,0.541666667,0,0,0,1
남,좋아하면 울리는 짝짝짝,,2022-12-09,2023-02-03,,13,TRUE,1994,29,26.36363636,ENTP,,TRUE,예술가 및 연예인,2452,81,71,81,63,75,100,52,4,6,TRUE,FALSE,28,1,좋아하면울리는짝짝짝,,,,,2760.645161,3160.666667,95040,55710,56,212428.2105,0.045454546,84.51301257,15.48698743,1,0,0,1,0,0
여,환승연애,3,2023-12-29,2024-04-19,,20,TRUE,1993,31,29.08333333,ISFJ,FALSE,FALSE,예술가 및 연예인,2452,87,76,81,76,54,95,91,5,6,TRUE,TRUE,30,1,환승연애3,123.5483871,206,3830,3090,10079.35484,12714,423370,258450,112,435067,0,0,0,0,0,0,1,0,0
여,사내연애,,2022-11-11,2023-01-06,,10,TRUE,1994,29,27.875,,FALSE,TRUE,예술가 및 연예인,2452,82,75,73,72,55,92,82,6,6,FALSE,FALSE,28,1,사내연애,,,,,4278.387097,4831.333333,164870,89050,56,48054.63306,0.041666667,42.54300147,57.45699853,0,1,0,0,0,0
여,솔로지옥,1,2021-12-18,2022-01-08,,8,TRUE,1997,25,28,ESTP,FALSE,TRUE,"방송 및 통신 기술 전문가, 예술가 및 연예인","2642, 2453",80,75,67,52,50,76,81,5,6,TRUE,TRUE,24,1,솔로지옥1,2861.612903,2439.333333,88710,36590,135870.9677,133506.6667,4235010,2018100,21,3741923,0.265128428,50.81691224,49.18308776,0.517241379,0.482758621,0,0,0,0
남,솔로지옥,2,2022-12-13,2023-01-10,,10,TRUE,1991,32,26.58333333,,FALSE,FALSE,,,80,71,70,61,75,100,54,5,6,FALSE,FALSE,31,1,솔로지옥2,589.0322581,738,18260,11070,13451.29032,12476.66667,474190,214500,28,246487,0.03610675,51.03255676,48.96744324,0.565217391,0.434782609,0,1,0,0
남,남의연애,2,2023-06-23,2023-08-04,,14,TRUE,1998,26,29,INFJ,FALSE,TRUE,,,88,62,98,95,74,100,84,7,0,FALSE,FALSE,25,1,남의연애2,,,,,1893.870968,2204.666667,70430,39060,42,280486,0.243206522,62.80916991,37.19083009,0.636871508,0.363128492,0,0,0,0
여,솔로지옥,2,2022-12-13,2023-01-10,,10,TRUE,1998,25,26.58333333,,FALSE,TRUE,,,83,68,79,82,50,78,84,5,6,FALSE,FALSE,24,1,솔로지옥2,1227.096774,1168.666667,38040,17530,13451.29032,12476.66667,474190,214500,28,895626,0.113029827,54.79497387,45.20502613,0.583333333,0.416666667,0,0,0,1
여,사내연애,,2022-11-11,2023-01-06,,10,TRUE,1997,26,27.875,,FALSE,TRUE,언론 전문가,2641,82,77,70,55,52,99,90,6,6,FALSE,FALSE,25,1,사내연애,110.3225806,86,3420,1290,4278.387097,4831.333333,164870,89050,56,24310,0.018867925,54.06901985,45.93098015,0.5,0.5,0,1,1,0
여,솔로지옥,1,2021-12-18,2022-01-08,,8,TRUE,1997,25,28,ESTJ,FALSE,TRUE,,,84,75,76,93,59,95,53,5,6,FALSE,FALSE,24,1,솔로지옥1,5670.645161,4494.666667,175790,67420,135870.9677,133506.6667,4235010,2018100,21,1030433,0.058336961,59.93161798,40.06838202,0.626865672,0.373134328,0,0,0,0
여,솔로지옥,3,2023-12-12,2024-01-09,,11,TRUE,1998,26,28.83333333,ENFJ,FALSE,TRUE,,,84,67,63,55,57,100,92,5,6,FALSE,FALSE,25,1,솔로지옥3,489.3548387,410.6666667,15170,6160,14327.74194,14086.66667,493650,242740,28,540106,0.052165354,38.42503488,61.57496512,0.358490566,0.641509434,0,0,0,0
남,좋아하면 울리는 짝짝짝,,2022-12-09,2023-02-03,,13,TRUE,1994,29,26.36363636,,,FALSE,"스포츠 지도사, 방송 및 통신 기술 전문가","3422, 2642",84,54,71,73,75,100,86,4,6,TRUE,FALSE,28,1,좋아하면울리는짝짝짝,,,,,2760.645161,3160.666667,95040,55710,56,196448.497,0.045454546,50.58194429,49.41805571,0.4,0.6,0,0,0,0
여,솔로지옥,1,2021-12-18,2022-01-08,,8,TRUE,1995,27,28,ENFP,FALSE,TRUE,"스포츠 지도사, 예술가 및 연예인","3422, 2453",82,84,76,84,52,70,80,5,6,TRUE,TRUE,26,1,솔로지옥1,2101.290323,1707.333333,65140,25610,135870.9677,133506.6667,4235010,2018100,21,1190973,0.012625163,62.05146349,37.94853651,0.689655172,0.310344828,0,0,0,0
남,좋아하면 울리는 짝짝짝,,2022-12-09,2023-02-03,,13,TRUE,1994,29,26.36363636,,,FALSE,예술가 및 연예인,2454,80,58,58,69,73,93,96,4,6,TRUE,FALSE,28,1,좋아하면울리는짝짝짝,,,,,2760.645161,3160.666667,95040,55710,56,89399.42225,0.005913661,44.60964821,55.39035179,0.5,0.5,0,0,0,0
남,사내연애,,2022-11-11,2023-01-06,,10,TRUE,1997,26,27.875,ENFJ,FALSE,TRUE,"예술가 및 연예인, 방송 및 통신 기술 전문가","2452, 2642",81,95,78,90,58,75,89,5,7,FALSE,FALSE,25,1,사내연애,,,,,4278.387097,4831.333333,164870,89050,56,37008,0.06993007,42.91245691,57.08754309,0.5,0.5,0,1,0,0
