성별,시즌,시청률,방송편수,OTT 방영 여부(후행적?),출생년도,방영당시 나이,출연자 평균 연령,MBTI,메기여부,커플 성사 여부,외모(Face score),외모(Fun),외모(Smartness),외모(Confidence),외모(Trustworthiness),외모(Attractiveness),외모(Approachability),계산된_동성_출연자_수,계산된_이성_출연자_수,계산된 방영당시 나이,방영 기간 (일),방송 종료 m일 후 팔로워 (total followers daily),pos_result의 평균,neg_result의 평균,출연자 pos_result 1의 비율,출연자 neg_result 0의 비율,1화,2화,3화,4화,넷플릭스,wavve,엠넷,티빙,쿠팡플레이,JTBC,카카오tv,SBS,디즈니,채널A,E/I,S/N,T/F,J/P,출연자방영후30일평균검색량 대비 프로그램방영후30일평균검색량 비율,출연자방영후14일평균검색량 대비 프로그램방영후14일평균검색량 비율,출연자방영전후30일총검색량 대비 프로그램방영전후30일총검색량 비율,출연자방영전후14일총검색량 대비 프로그램방영전후14일총검색량 비율
여,1.0,,15,True,1998.0,24.0,27.1,ENFP,False,False,84,93,56,71,95,98,77,4,5,23.0,98,375947.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,E,N,F,P,0.008966912484500423,0.01054323368691739,0.008636349351016688,0.009769755458255145
여,3.0,,8,True,1995.0,27.0,27.4,INFP,False,,80,53,58,98,51,52,92,4,0,26.0,49,55980.0,74.8187243938446,25.1812756061554,1.0,0.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,I,N,F,P,0.22585992540406136,0.23169238305167766,0.20326340326340325,0.19753602004593862
남,,,10,True,1993.0,30.0,27.875,,False,True,78,55,63,66,73,97,66,5,7,29.0,56,26526.0,44.661095738411,55.3389042615891,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,
여,3.0,,20,True,1997.0,27.0,29.08333333,INFJ,False,True,86,82,51,70,59,81,98,5,6,26.0,112,232536.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,I,N,F,J,0.01075337643218332,0.012007760474018142,0.007936320476179228,0.00886051460630683
남,4.0,,15,True,1993.0,31.0,30.5,ENFP,True,False,84,88,60,97,61,99,77,3,4,30.0,100,568.4333333333334,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,E,N,F,P,,,,
남,,,13,True,2004.0,20.0,20.0,ISTP,False,True,79,56,53,59,66,86,88,4,5,19.0,21,241678.0,50.3762101130699,49.6237898869301,0.432835820895522,0.567164179104478,0,0,0,0,1,0,0,0,0,0,0,0,0,0,I,S,T,P,,,,
남,3.0,,16,True,1989.0,32.0,28.75,ISFJ,False,True,85,71,95,63,74,97,93,3,4,31.0,112,192011.0,90.6204402446747,9.37955975532532,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,I,S,F,J,,,,
남,2.0,,14,True,1993.0,31.0,29.0,INFJ,True,False,80,58,53,53,72,99,91,7,0,30.0,42,91211.0,62.9048611223698,37.0951388776302,0.7,0.3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,I,N,F,J,,,,
남,1.0,,11,True,1995.0,28.0,29.5,ISFP,False,False,88,84,67,67,69,100,94,7,0,27.0,42,77069.0,67.0324141159654,32.9675858840346,0.75,0.25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,I,S,F,P,0.002188494194411234,0.0018529956763434217,0.0018935409215232485,0.001553196997152472
여,,,10,True,1999.0,24.0,27.875,,False,True,86,81,81,64,50,94,89,6,6,23.0,56,4575.0,37.1368363499641,62.8631636500359,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,
여,3.0,,8,True,1994.0,28.0,27.4,INFP,True,,80,60,81,59,53,84,61,4,0,27.0,49,72248.0,15.7476956024766,84.2523043975234,0.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,I,N,F,P,0.367799419809366,0.2537349987754102,0.331002331002331,0.21632908749216956
여,,,13,True,1993.0,30.0,26.36363636,,,True,81,57,63,60,64,100,84,5,5,29.0,56,135255.0,55.3011973698934,44.6988026301066,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,
남,3.0,,16,True,1992.0,29.0,28.75,INFJ,False,False,82,79,84,67,73,98,86,3,4,28.0,112,189150.0,63.7377977371216,36.2622022628784,0.555555555555556,0.444444444444444,0,1,1,0,1,0,0,0,0,0,0,0,0,1,I,N,F,J,,,,
남,,,13,True,1999.0,24.0,26.36363636,,,False,82,56,82,65,68,98,80,4,6,23.0,56,76901.0,56.5855741128325,43.4144258871675,0.6,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,
여,,,13,True,2004.0,20.0,20.0,ISFP,True,True,86,55,83,84,75,96,93,4,5,19.0,21,256354.0,48.0436692671342,51.9563307328658,0.443181818181818,0.556818181818182,0,0,0,0,1,0,0,0,0,0,0,0,0,0,I,S,F,P,,,,
